商品代碼:6770	商品名稱:力積電

日期	開盤價	最高價	最低價	收盤價	成交量
'2022/03/04 00:00	54.7000	54.9000	53.8000	54.0000	10025
'2022/03/07 00:00	53.0000	53.1000	51.3000	52.2000	18402
'2022/03/08 00:00	50.6000	51.6000	49.7000	49.7000	22832
'2022/03/09 00:00	50.1000	50.6000	49.8000	50.2000	12857
'2022/03/10 00:00	51.4000	52.0000	51.3000	51.5000	10795
'2022/03/11 00:00	51.4000	51.5000	50.8000	50.9000	6197
'2022/03/14 00:00	51.0000	51.5000	50.7000	51.4000	7252
'2022/03/15 00:00	51.0000	51.1000	50.0000	50.4000	11887
'2022/03/16 00:00	50.9000	51.4000	50.2000	51.4000	12406
'2022/03/17 00:00	52.9000	53.4000	52.5000	52.9000	14798
'2022/03/18 00:00	53.0000	54.2000	52.5000	54.2000	16694
'2022/03/21 00:00	54.9000	55.3000	54.0000	54.5000	14757
'2022/03/22 00:00	54.6000	54.6000	53.8000	54.2000	8168
'2022/03/23 00:00	54.3000	54.7000	54.0000	54.2000	10167
'2022/03/24 00:00	53.6000	54.2000	53.3000	54.2000	7470
'2022/03/25 00:00	54.5000	54.7000	54.0000	54.1000	9280
'2022/03/28 00:00	53.8000	54.0000	52.7000	53.9000	7646
'2022/03/29 00:00	53.8000	53.9000	53.1000	53.8000	9934
'2022/03/30 00:00	54.0000	54.2000	53.3000	53.7000	11987
'2022/03/31 00:00	53.4000	53.6000	52.8000	53.0000	9073
'2022/04/01 00:00	52.3000	52.4000	51.7000	52.0000	9811
'2022/04/06 00:00	51.8000	54.3000	51.4000	54.3000	28210
'2022/04/07 00:00	54.3000	54.9000	53.8000	54.5000	21734
'2022/04/08 00:00	55.0000	55.2000	53.7000	54.3000	12914
'2022/04/11 00:00	54.5000	54.5000	52.3000	52.3000	11382
'2022/04/12 00:00	52.3000	52.5000	51.5000	51.8000	11469
'2022/04/13 00:00	52.9000	53.9000	52.4000	53.0000	18355
'2022/04/14 00:00	52.8000	52.8000	51.8000	52.0000	13712
'2022/04/15 00:00	51.6000	51.7000	51.1000	51.6000	9310
'2022/04/18 00:00	51.5000	51.6000	50.9000	51.0000	7222
'2022/04/19 00:00	51.4000	52.0000	51.4000	51.8000	9242
'2022/04/20 00:00	52.2000	56.0000	51.7000	54.5000	26911
'2022/04/21 00:00	54.3000	54.9000	54.0000	54.4000	17773
'2022/04/22 00:00	53.4000	54.5000	52.6000	54.4000	19679
'2022/04/25 00:00	53.0000	53.6000	51.8000	51.9000	11251
'2022/04/26 00:00	52.7000	52.7000	51.6000	51.9000	7905
'2022/04/27 00:00	50.5000	51.5000	50.3000	51.1000	12097
'2022/04/28 00:00	51.9000	54.2000	51.6000	52.8000	22546
'2022/04/29 00:00	54.0000	54.2000	53.1000	53.6000	16850
'2022/05/03 00:00	53.5000	53.8000	52.8000	53.0000	7807
'2022/05/04 00:00	53.5000	53.7000	53.0000	53.2000	6911
'2022/05/05 00:00	54.1000	55.0000	53.8000	55.0000	22338
'2022/05/06 00:00	53.6000	54.2000	53.4000	53.8000	16795
'2022/05/09 00:00	53.8000	54.2000	53.1000	54.0000	13574
'2022/05/10 00:00	53.3000	53.7000	52.7000	53.2000	16487
'2022/05/11 00:00	53.6000	54.5000	53.4000	54.4000	25292
'2022/05/12 00:00	54.0000	55.5000	53.9000	54.0000	32154
'2022/05/13 00:00	55.7000	57.7000	54.7000	56.5000	69183
'2022/05/16 00:00	57.4000	58.4000	57.0000	57.5000	42652
'2022/05/17 00:00	58.2000	58.3000	57.5000	57.8000	25236
'2022/05/18 00:00	58.5000	59.2000	58.1000	58.4000	26318
'2022/05/19 00:00	57.0000	59.0000	56.5000	59.0000	31053
'2022/05/20 00:00	59.2000	59.4000	58.5000	58.8000	20972
'2022/05/23 00:00	58.3000	59.2000	57.1000	57.2000	28988
'2022/05/24 00:00	57.5000	57.9000	56.4000	56.6000	20856
'2022/05/25 00:00	56.6000	57.6000	56.3000	56.6000	19255
'2022/05/26 00:00	57.0000	57.0000	55.2000	55.7000	25732
'2022/05/27 00:00	56.2000	56.8000	56.0000	56.5000	20671
'2022/05/30 00:00	57.1000	58.5000	57.0000	58.1000	32242
'2022/05/31 00:00	58.2000	58.8000	57.7000	57.8000	252368
'2022/06/01 00:00	58.0000	58.3000	57.5000	57.8000	19141
'2022/06/02 00:00	57.6000	57.6000	57.0000	57.2000	9800
'2022/06/06 00:00	57.7000	57.9000	56.3000	56.4000	15727
'2022/06/07 00:00	56.2000	56.3000	54.6000	55.7000	18587
'2022/06/08 00:00	55.5000	56.1000	55.2000	55.3000	15214
'2022/06/09 00:00	55.3000	56.1000	55.1000	56.1000	10387
'2022/06/10 00:00	55.5000	55.8000	55.1000	55.8000	6569
'2022/06/13 00:00	55.0000	55.0000	53.4000	53.5000	16386
'2022/06/14 00:00	52.5000	52.7000	51.7000	52.1000	21425
'2022/06/15 00:00	52.4000	52.6000	51.3000	51.4000	19131
'2022/06/16 00:00	52.0000	52.2000	50.0000	50.1000	25282
'2022/06/17 00:00	49.3000	50.9000	48.8000	50.4000	51347
'2022/06/20 00:00	50.3000	50.3000	47.8500	47.8500	32365
'2022/06/21 00:00	48.2000	48.8000	47.3500	48.4500	18179
'2022/06/22 00:00	48.8000	48.8000	46.3500	46.3500	18145
'2022/06/23 00:00	46.3500	46.5500	42.8000	43.5000	38899
'2022/06/24 00:00	43.9000	44.0000	42.6500	43.0000	22344
'2022/06/27 00:00	43.9000	44.8000	43.5500	44.2500	17619
'2022/06/28 00:00	44.3000	44.3000	42.6000	42.8000	18175
'2022/06/29 00:00	41.5500	42.1500	41.2500	41.7000	22095
'2022/06/30 00:00	41.6500	41.6500	40.0500	40.1000	21218
'2022/07/01 00:00	40.0500	40.7000	37.8000	37.8500	27889
'2022/07/04 00:00	38.0000	38.8500	37.6500	38.3000	15221
'2022/07/05 00:00	39.1500	39.4500	38.0500	39.0000	13724
'2022/07/06 00:00	39.1000	39.5500	38.5000	38.9500	17047
'2022/07/07 00:00	39.1500	40.9500	38.7500	40.4000	23821
'2022/07/08 00:00	41.1500	41.3500	40.3000	40.5500	15423
'2022/07/11 00:00	40.6500	41.0000	39.7000	40.1000	10642
'2022/07/12 00:00	39.5500	39.6000	38.1000	38.3500	14524
'2022/07/13 00:00	39.5000	39.7500	38.6500	39.2500	16481
'2022/07/14 00:00	38.5500	39.3000	38.3000	39.0000	14721
'2022/07/15 00:00	39.2500	40.5000	39.0000	40.0500	18663
'2022/07/18 00:00	38.5500	39.6000	38.0500	39.2500	37886
'2022/07/19 00:00	38.0000	38.9500	37.8000	38.7500	24939
'2022/07/20 00:00	39.7000	40.1500	39.5000	39.7000	21909
'2022/07/21 00:00	39.9500	42.0000	39.9000	41.8000	32464
